,url
979,/round-tailed-ground-squirrel
980,/east-caucasian-tur
981,/peary-caribou
982,/panthera-leo-sinhaleyus
983,/garden-dormouse
984,/greenland-wolf
985,/cactus-mouse
986,/guadalupe-fur-seal
987,/mahogany-glider
988,/sri-lankan-sloth-bear
989,/ugandan-kob
990,/lesser-grison
991,/stone-sheep
992,/southern-three-banded-armadillo
993,/burrunan-dolphin
994,/palawan-bearded-pig
995,/yellow-backed-duiker
996,/lumholtzs-tree-kangaroo
997,/labrador-wolf
998,/brush-tailed-phascogale
999,/montane-guinea-pig
1000,/south-western-black-rhinoceros
1001,/boodie
1002,/cave-wolf
1003,/egyptian-weasel
1004,/red-tailed-monkey
1005,/red-crested-tree-rat
1006,/white-headed-langur
1007,/molinas-hog-nosed-skunk
1008,/altai-wapiti
1009,/humboldts-hog-nosed-skunk
1010,/little-red-kaluta
1011,/cape-mountain-zebra
1012,/soemmerrings-gazelle
1013,/red-fronted-gazelle
1014,/javan-ferret-badger
1015,/agile-gibbon
1016,/chapmans-zebra
1017,/straw-coloured-fruit-bat
1018,/clymene-dolphin
1019,/large-eared-pika
1020,/uinta-ground-squirrel
1021,/caucasian-moose
1022,/malayan-porcupine
1023,/eastern-long-beaked-echidna
1024,/christmas-island-shrew
1025,/bactrian-deer
1026,/blue-eyed-black-lemur
1027,/spotted-linsang
1028,/bohor-reedbuck
1029,/giant-tapir
1030,/tailless-tenrec
1031,/pied-tamarin
1032,/common-noctule
1033,/allens-swamp-monkey
1034,/japanese-giant-flying-squirrel
1035,/bolivian-river-dolphin
1036,/ursus-etruscus
1037,/woodland-oldfield-mouse
1038,/hoses-langur
1039,/pallid-bat
1040,/southern-viscacha
1041,/western-hoolock-gibbon
1042,/northern-white-breasted-hedgehog
1043,/maned-rat
1044,/burmese-ferret-badger
1045,/gnthers-dik-dik
1046,/ladoga-seal
1047,/buettikofers-epauletted-fruit-bat
1048,/chinese-ferret-badger
1049,/eurasian-pygmy-shrew
1050,/la-plata-dolphin
1051,/arctic-shrew
1052,/arabian-tahr
1053,/pyrenean-chamois
1054,/grivet
1055,/hairy-nosed-otter
1056,/mauritian-flying-fox
1057,/sunda-slow-loris
1058,/african-palm-civet
1059,/greater-mouse-deer
1060,/southern-river-otter
1061,/bouviers-red-colobus
1062,/european-wildcat
1063,/southern-pudu
1064,/bairds-beaked-whale
1065,/brydes-whale
1066,/bongo-antelope
1067,/bairds-tapir
1068,/barasingha
1069,/purple-faced-langur
1070,/brazilian-three-banded-armadillo
1071,/asian-badger
1072,/ghost-bat
1073,/greater-short-nosed-fruit-bat
1074,/mountain-anoa
1075,/new-england-cottontail
1076,/blue-duiker
1077,/lowland-anoa
1078,/siberian-flying-squirrel
1079,/suni
1080,/mountain-weasel
1081,/mountain-nyala
1082,/himalayan-goral
1083,/maned-sloth
1084,/cape-porcupine
1085,/greater-mouse-eared-bat
1086,/common-spotted-cuscus
1087,/southern-right-whale-dolphin
1088,/pale-fox
1089,/marsh-rice-rat
1090,/sunda-leopard-cat
1091,/black-snub-nosed-monkey
1092,/visayan-spotted-deer
1093,/red-brocket
1094,/lichtensteins-hartebeest
1095,/american-water-shrew
1096,/yellow-tailed-woolly-monkey
1097,/fat-tailed-dwarf-lemur
1098,/ruddy-mongoose
1099,/ailuropoda-microta
1100,/lesser-horseshoe-bat
1101,/cuviers-gazelle
1102,/felis-attica
1103,/caspian-red-deer
1104,/rodrigues-flying-fox
1105,/parma-wallaby
1106,/american-pygmy-shrew
1107,/dusky-pademelon
1108,/servaline-genet
1109,/manitoban-elk
1110,/white-eared-opossum
1111,/sumatran-striped-rabbit
1112,/white-headed-capuchin
1113,/african-pygmy-mouse
1114,/mona-monkey
1115,/golden-headed-lion-tamarin
1116,/prehensile-tailed-porcupine
1117,/indian-long-eared-hedgehog
1118,/spectral-tarsier
1119,/tibetan-macaque
1120,/javan-slow-loris
1121,/prevosts-squirrel
1122,/diademed-sifaka
1123,/gray-four-eyed-opossum
1124,/malagasy-giant-rat
1125,/long-tailed-goral
1126,/big-hairy-armadillo
1127,/alaskan-tundra-wolf
1128,/capped-langur
1129,/northern-olingo
1130,/northern-right-whale-dolphin
1131,/ryukyu-flying-fox
1132,/yellow-spotted-rock-hyrax
1133,/dibatag
1134,/rufous-hare-wallaby
1135,/african-striped-weasel
1136,/southern-reedbuck
1137,/araguaian-river-dolphin
1138,/crowned-lemur
1139,/sumatran-serow
1140,/red-giant-flying-squirrel
1141,/northern-lynx
1142,/subantarctic-fur-seal
1143,/javan-warty-pig
1144,/zebra-duiker
1145,/greater-noctule-bat
1146,/large-japanese-field-mouse
1147,/round-tailed-muskrat
1148,/desert-bandicoot
1149,/sierra-nevada-bighorn-sheep
1150,/common-brown-lemur
1151,/alpine-musk-deer
1152,/crab-eating-mongoose
1153,/southern-bog-lemming
1154,/celebes-warty-pig
1155,/saharan-striped-polecat
1156,/otter-civet
1157,/silvery-gibbon
1158,/northern-plains-gray-langur
1159,/camas-pocket-gopher
1160,/angolan-giraffe
1161,/spekes-gazelle
1162,/golden-palm-civet
1163,/texas-wolf
1164,/bornean-clouded-leopard
1165,/woodland-vole
1166,/assam-macaque
1167,/gray-brocket
