,Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Introduced countries,Seas,Islands,Biome,Climate,Seasonal behavior,Predators,Bird's call,Mating behavior,Reproduction season,Pregnancy duration,Baby carrying,Independent age,Female name,Male name,Baby name,Incubation period,Population trend,Population status
2705,Gang-Gang Cockatoo,Animalia,Chordata,,Aves,Psittaciformes,,Cacatuidae,Callocephalon,Callocephalon fimbriatum,"above 10,000",50 yrs,,280-330 g,,32-37 cm,,,,"['Anthropogenic biome', 'Forest']",['Temperate'],"Not a migrant, Partial Migrant,",,Your browser does not support the audio element.,Monogamy,October-January,,2 eggs,12-14 weeks,hen,cock,chick,24-30 days,Increasing,Least concern (LC)
2706,Prairie Falcon,Animalia,Chordata,,Aves,Falconiformes,,Falconidae,Falco,Falco mexicanus,36-80 thou,3-25 yrs,72 km/h,420-1100 g,,37-47 cm,,,,"['Wetlands ', 'Shrubland', 'Agricultural', 'Anthropogenic biome', 'Chaparral', 'Mountains', 'Grassland', 'Freshwater']","['Arid', 'Temperate']",Migrating,,Your browser does not support the audio element.,Serial monogamy,"February-July, peak in April-May",,3-5 eggs,65 days,falcon,tiercel,"eyas, eyass",31 days,Increasing,Least concern (LC)
2707,White-Backed Vulture,Animalia,Chordata,,Aves,Accipitriformes,,Accipitridae,Gyps,Gyps africanus,"270,000",19 yrs,48 km/h,4-7 kg,,78-98 cm,,,,"['Freshwater', 'Anthropogenic biome', 'Forest', 'Grassland', 'Savanna', 'Shrubland']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,Your browser does not support the audio element.,Monogamy,during the dry season,,1 egg,4 months,,,chick,56 days,Decreasing,Critically endangered (CR)
2708,Common Snipe,Animalia,Chordata,,Aves,Charadriiformes,,Scolopacidae,Gallinago,Gallinago gallinago,15-29 mln,4-16 yrs,,80-140 g,,25-27 cm,,,,"['Lakes', 'Rivers', 'Estuaries', 'Wetlands ', 'Bog', 'Brackish water', 'Freshwater', 'Marsh', 'Swamp', 'Forest', 'Neritic zone']","['Tropical', 'Temperate', 'Polar']",Migrating,,Your browser does not support the audio element.,Monogamy,,,4 eggs,10-20 days,,,chick,18-21 days,Decreasing,Least concern (LC)
2709,Bateleur,Animalia,Chordata,,Aves,Accipitriformes,,Accipitridae,Terathopius,Terathopius ecaudatus,10-100 thou,27 yrs,80 km/h,2-2.6 kg,,55-70 cm,,,,"['Forest', 'Grassland', 'Savanna', 'Shrubland']",['Tropical'],Not a migrant,,,Monogamy,September-May in west Africa; year-round in East Africa; December-August in Southern Africa,,1 egg,4 months,,,"fledgling, eagle",55 days,Decreasing,Near Threatened (NT)
2710,Common Yellowthroat,Animalia,Chordata,,Aves,Passeriformes,,Parulidae,Geothlypis,Geothlypis trichas,87 mln,10-11 yrs,,9-10 g,,11-13 cm,,,,"['Intertidal zone', 'Wetlands ', 'Shrubland', 'Grassland', 'Freshwater', 'Forest', 'Marine']","['Tropical', 'Temperate']","Partial Migrant, Migrating",,Your browser does not support the audio element.,"Polygyny,",,,3-5 eggs,8-10 days,,,chick,12 days,Stable,Least concern (LC)
2711,Yellow-rumped warbler,Animalia,Chordata,,Aves,Passeriformes,,Parulidae,Setophaga,Setophaga coronata,,,,11.5 g,,,,,,"['Forest', 'Anthropogenic biome', 'Shrubland']",[],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Unknown,Least concern (LC)
2712,Black stork,Animalia,Chordata,,Aves,Ciconiiformes,,Ciconiidae,Ciconia,Ciconia nigra,,,,3000 g,,95-100 cm,,,,"['Forest', 'Marsh', 'Wetlands ', 'Mountains', 'Riparian', 'Rivers', 'Shrubland', 'Swamp', 'Temporary pools', 'Freshwater']",['Temperate'],Migrating,,Your browser does not support the audio element.,Monogamy,,,,3 weeks,,,,,Unknown,Least concern (LC)
2713,Great grey shrike,Animalia,Chordata,,Aves,Passeriformes,,Laniidae,Lanius,Lanius excubitor,,,,48-81 g,,22-26 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Grassland', 'Freshwater', 'Rocky areas ', 'Savanna', 'Shrubland', 'Wetlands ']",['Temperate'],Migrating,,Your browser does not support the audio element.,"Serial monogamy,",,,,3 to 6 weeks,,,,,Decreasing,Least concern (LC)
2714,Pied-Billed Grebe,Animalia,Chordata,,Aves,Podicipediformes,,Podicipedidae,Podilymbus,Podilymbus podiceps,110-300 thou,10-12 yrs,,253-568 g,,31-38 cm,,,,"['Lakes', 'Wetlands ', 'Agricultural', 'Anthropogenic biome', 'Brackish water', 'Freshwater', 'Marsh', 'Riparian', 'Rivers']","['Tropical', 'Temperate', 'Cold']","Partial Migrant, Migrating",,Your browser does not support the audio element.,Serial monogamy,April/May,,3-10 eggs,4 weeks,,,chick,23 days,Stable,Least concern (LC)
2715,Red-Crested Cardinal,Animalia,Chordata,,Aves,Passeriformes,,Thraupidae,Paroaria,Paroaria coronata,Unknown,15 yrs,,30-35 g,,19 cm,United States,,,"['Anthropogenic biome', 'Shrubland']","['Tropical', 'Temperate']",Not a migrant,,Your browser does not support the audio element.,Monogamy,October-November,,2-5 eggs,2-3 weeks,,,chick,12-13 days,Stable,Least concern (LC)
2716,Jabiru,Animalia,Chordata,,Aves,Ciconiiformes,,Ciconiidae,Jabiru,Jabiru mycteria,,,,8000 g,,1.15 m,,,,"['Agricultural', 'Anthropogenic biome', 'Freshwater', 'Lakes', 'Marsh', 'Wetlands ', 'Riparian', 'Rivers', 'Grassland', 'Swamp']",['Tropical'],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Unknown,Least concern (LC)
2717,Eastern wood pewee,Animalia,Chordata,,Aves,Passeriformes,,Tyrannidae,Contopus,Contopus virens,,,,14.1 g,,150 mm,,,,"['Forest', 'Riparian', 'Anthropogenic biome', 'Urban wildlife', 'Shrubland']",['Temperate'],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Decreasing,Least concern (LC)
2718,Common ground dove,Animalia,Chordata,,Aves,Columbiformes,,Columbidae,Columbina,Columbina passerina,,,,28-40 g,,15-18 cm,,,"Anguilla, Aruba, Bermuda, Bonaire, Sint Eustatius and Saba, Cayman Islands, Curaçao, Haiti, Martinique, Montserrat, Puerto Rico,","['Anthropogenic biome', 'Savanna', 'Shrubland']",[],Not a migrant,,Your browser does not support the audio element.,"Cooperative breeder,",,,,2-3 weeks,,,,,Stable,Least concern (LC)
2719,Grey Wagtail,Animalia,Chordata,,Aves,Passeriformes,,Motacillidae,Motacilla,Motacilla cinerea,6.9-19.8 mln,8 yrs,,15-23 g,,18-19 cm,,,,"['Lakes', 'Rivers', 'Urban wildlife', 'Wetlands ', 'Freshwater', 'Anthropogenic biome', 'Grassland']","['Tropical', 'Temperate']","Partial Migrant, Migrating",,Your browser does not support the audio element.,Monogamy,April-July,,3-6 eggs,4-5 weeks,,,chick,2 weeks,Stable,Least concern (LC)
2720,Brambling,Animalia,Chordata,,Aves,Passeriformes,,Fringillidae,Fringilla,Fringilla montifringilla,,,,21 g,,14-16 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Shrubland']",['Temperate'],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Decreasing,Least concern (LC)
2721,Red-breasted merganser,Animalia,Chordata,,Aves,Anseriformes,,Anatidae,Mergus,Mergus serrator,,,,800-1350 g,,51-64 cm,,"Arctic Ocean, Atlantic Ocean, Pacific Ocean",,"['Brackish water', 'Coastal', 'Estuaries', 'Forest', 'Freshwater', 'Lakes', 'Rivers', 'Marine', 'Neritic zone', 'Wetlands ']",['Temperate'],Migrating,,Your browser does not support the audio element.,Serial monogamy,,,,7 weeks,,,,,Stable,Least concern (LC)
2722,Pink-headed duck,Animalia,Chordata,,Aves,Anseriformes,,Anatidae,Rhodonessa,Rhodonessa caryophyllacea,,,,793-1360 g,,,,,,"['Lakes', 'Rivers', 'Grassland', 'Freshwater', 'Forest', 'Wetlands ']",[],Not a migrant,,,,,,,,,,,,Unknown,Critically endangered (CR)
2723,Green Bee-Eater,Animalia,Chordata,,Aves,Coraciiformes,,Meropidae,Merops,Merops orientalis,Unknown,12-18 yrs,42 km/h,15-20 g,,16-18 cm,,,,"['Anthropogenic biome', 'Forest', 'Savanna', 'Shrubland', 'Wetlands ', 'Agricultural', 'Woodland']","['Tropical', 'Arid']",,,Your browser does not support the audio element.,Monogamy,March-June and July-August according to the range,,4-8 eggs,22-31 days,,,chick,18-22 days,Increasing,Least concern (LC)
2724,Lesser Flamingo,Animalia,Chordata,,Aves,Phoenicopteriformes,,Phoenicopteridae,Phoenicoparrus,Phoeniconaias minor,2.2-3.3 Mln,50 yrs,60 km/h,1.2-2.7 kg,80-90 cm,90-125 cm,,,,"['Lakes', 'Wetlands ', 'Estuaries', 'Intertidal zone', 'Freshwater', 'Neritic zone', 'Coastal', 'Anthropogenic biome', 'Marine']","['Tropical', 'Temperate']",Not a migrant,,Your browser does not support the audio element.,Serial monogamy,October-December,,1 egg,90 days,,,chick,28 days,Decreasing,Near Threatened (NT)
2725,King eider,Animalia,Chordata,,Aves,Anseriformes,,Anatidae,Somateria,Somateria spectabilis,,,,1200-2100 g,,46-64 cm,,,,"['Coastal', 'Estuaries', 'Lakes', 'Marine', 'Freshwater', 'Neritic zone', 'Wetlands ']","['Polar', 'Temperate']",Migrating,,Your browser does not support the audio element.,,,,,,,,,,Decreasing,Least concern (LC)
2726,Redhead,Animalia,Chordata,,Aves,Anseriformes,,Anatidae,Aythya,Aythya americana,,22.5 years,,680-1450 g,,457-550 mm,,,,"['Freshwater', 'Lakes', 'Marsh', 'Wetlands ', 'Intertidal zone', 'Neritic zone', 'Marine']",['Temperate'],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Increasing,Least concern (LC)
2727,Yellow-Headed Blackbird,Animalia,Chordata,,Aves,Passeriformes,,Icteridae,Xanthocephalus,Xanthocephalus xanthocephalus,11-23 mln,10-11.8 yrs,,44-100 g,,21-26 cm,,,,"['Wetlands ', 'Anthropogenic biome', 'Forest', 'Lakes', 'Rivers', 'Grassland', 'Freshwater']","['Temperate', 'Tropical']",Migrating,,Your browser does not support the audio element.,Polygyny,May-June,,3-5 eggs,,,,chick,11-13 days,Increasing,Least concern (LC)
2728,Green-Winged Macaw,Animalia,Chordata,,Aves,Psittaciformes,,Psittacidae,Ara,Ara chloropterus,50-500 thou,30-60 yrs,56 km/h,1050-1708 g,,66-99 cm,,,,"['Forest', 'Savanna', 'Woodland', 'Montane forest', 'Mountains']",['Tropical'],Not a migrant,,Your browser does not support the audio element.,Monogamy,December,,2-3 eggs,3-4 months,hen,cock,chick,28 days,Decreasing,Least concern (LC)
2729,Boreal Owl,Animalia,Chordata,,Aves,Strigiformes,,Strigidae,Aegolius,Aegolius funereus,"700,000-2.4M",7-8 yrs,,93-215 g,,22-27 cm,,,,['Forest'],['Temperate'],Partial Migrant,,Your browser does not support the audio element.,Serial monogamy,March-July,,3-6 eggs,8-10 weeks,,,"owlet, fledgling",26-32 days,Stable,Least concern (LC)
2730,Red Crossbill,Animalia,Chordata,,Aves,Passeriformes,,Fringillidae,Loxia,Loxia curvirostra,90-180 Mln,8 yrs,,31-42 g,,14-16 cm,,,,"['Forest', 'Anthropogenic biome']","['Arid', 'Temperate', 'Cold']",Not a migrant,,Your browser does not support the audio element.,Monogamy,"Year-round, depends on food availability",,3-4 eggs,48-52 days,,,chick,12-16 days,Stable,Least concern (LC)
2731,Brogla,Animalia,Chordata,,Aves,Gruiformes,,Gruidae,Antigone,Grus rubicunda,,33 yrs,82 km/h,3.7-8.7 kg,0.7-1.3 m,,,,,"['Freshwater', 'Grassland', 'Wetlands ']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,,Monogamy,September-December in the South; February-May in the North,,2 eggs,11-24 months,,,chick,28-30 days,Decreasing,Least concern (LC)
2732,Red Knot,Animalia,Chordata,,Aves,Charadriiformes,,Scolopacidae,Calidris,Calidris canutus,891-979 thou,13-16 yrs,,100-200 g,,23-26 cm,,,,"['Rivers', 'Intertidal zone', 'Estuaries', 'Wetlands ', 'Freshwater', 'Grassland', 'Neritic zone', 'Marine']","['Tropical', 'Temperate', 'Polar']",Migrating,,Your browser does not support the audio element.,Serial monogamy,June-August,,3-4 eggs,18-20 days,,,chick,22 days,Decreasing,Near Threatened (NT)
2733,Little Grebe,Animalia,Chordata,,Aves,Podicipediformes,,Podicipedidae,Tachybaptus,Tachybaptus ruficollis,"610,000-3.5M",10-15 yrs,,130-236 g,,23-29 cm,,,,"['Lakes', 'Rivers', 'Intertidal zone', 'Estuaries', 'Wetlands ', 'Freshwater', 'Neritic zone', 'Coastal', 'Anthropogenic biome', 'Marine']","['Tropical', 'Temperate']","Partial Migrant, Migrating",,Your browser does not support the audio element.,Monogamy,varies with location; India - rainy season,,4-7 eggs,,,,chick,20-25 days,Decreasing,Least concern (LC)
2734,Lappet-Faced Vulture,Animalia,Chordata,,Aves,Accipitriformes,,Accipitridae,Torgos,Torgos tracheliotos,"8,500",30-50 yrs,48 km/h,4.4-9.4 kg,,95-115 cm,,,,"['Forest', 'Grassland', 'Savanna', 'Shrubland']","['Tropical', 'Arid', 'Temperate']","Migrating, Not a migrant",,,Monogamy,"East Africa: year-round, southern Africa: May, northern range: November-July (sometimes to September)",,1 egg,125-135 days,,,chick,7-8 weeks,Decreasing,Endangered (EN)
2735,Golden-crowned kinglet,Animalia,Chordata,,Aves,Passeriformes,,Regulidae,Regulus,Regulus satrapa,,,,6.1-6.3 g,,78.5-113.75 mm,,,,"['Forest', 'Mountains', 'Riparian', 'Anthropogenic biome', 'Suburban', 'Swamp', 'Wetlands ', 'Urban wildlife']",['Temperate'],Partial Migrant,,Your browser does not support the audio element.,Monogamy,,,,33 to 36 days,,,,,Increasing,Least concern (LC)
2736,Common gull,Animalia,Chordata,,Aves,Charadriiformes,,Laridae,Larus,Larus canus,,18 years,,290-552 g,,40-46 cm,,,,"['Bog', 'Wetlands ', 'Freshwater', 'Marsh', 'Marine', 'Swamp', 'Anthropogenic biome', 'Grassland', 'Intertidal zone', 'Neritic zone', 'Coastal']",[],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Unknown,Least concern (LC)
2737,Snow Bunting,Animalia,Chordata,,Aves,Passeriformes,,Calcariidae,Plectrophenax,Plectrophenax nivalis,above 40 mln,8.9 yrs,,30-40 g,,15 cm,,,,"['Rocky areas ', 'Agricultural', 'Anthropogenic biome', 'Coastal', 'Marsh', 'Wetlands ', 'Mountains', 'Grassland', 'Marine']","['Temperate', 'Polar']",Migrating,,Your browser does not support the audio element.,Monogamy,May-September,,2-8 eggs,,,,chick,12-14 days,Decreasing,Least concern (LC)
2738,Blue-Throated Macaw,Animalia,Chordata,,Aves,Psittaciformes,,Psittacidae,Ara,Ara glaucogularis,208-303,50-80 yrs,56 km/h,"900-1,100 g",,85 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Grassland', 'Forest', 'Savanna', 'Marsh']",['Tropical'],Not a migrant,,,Monogamy,,,1-3 eggs,1 year,hen,cock,chick,26 days,Stable,Critically endangered (CR)
2739,Laysan Albatross,Animalia,Chordata,,Aves,Procellariiformes,,Diomedeidae,Phoebastria,Phoebastria immutabilis,1.7 Mln,12-51 yrs,128.7 km/h,1.9-4 kg,,81 cm,,,,"['Intertidal zone', 'Oceanic pelagic zone', 'Neritic zone', 'Marine']","['Tropical', 'Temperate', 'Cold']","Not a migrant, Migrating",,Your browser does not support the audio element.,Monogamy,November,,1 egg,165 days,,,chick,65 days,Stable,Near Threatened (NT)
2740,Blue Grosbeak,Animalia,Chordata,,Aves,Passeriformes,,Cardinalidae,Passerina,Passerina caerulea,24 mln,6 yrs,,26-31.5 g,,14-19 cm,,,,"['Shrubland', 'Forest', 'Anthropogenic biome', 'Woodland', 'Riparian', 'Agricultural']","['Tropical', 'Temperate']",Migrating,,Your browser does not support the audio element.,Serial monogamy,April-August,,3-5 eggs,9-10 days,,,chick,11-12 days,Increasing,Least concern (LC)
2741,Great kiskadee,Animalia,Chordata,,Aves,Passeriformes,,Tyrannidae,Pitangus,Pitangus sulphuratus,,7 years,,52-68 g,,,"Ecuador, Chile, Argentina, Bolivia, Brazil, Colombia, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezuela",,"Falkland Islands, French Guiana","['Forest', 'Grassland', 'Anthropogenic biome', 'Shrubland']",[],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Increasing,Least concern (LC)
2742,American bushtit,Animalia,Chordata,,Aves,Passeriformes,,Aegithalidae,Psaltriparus,Psaltriparus minimus,,8.5 years,,5.5 g,,,,,,"['Mountains', 'Grassland', 'Anthropogenic biome', 'Forest', 'Shrubland']",[],Not a migrant,,Your browser does not support the audio element.,,,,,,,,,,Stable,Least concern (LC)
2743,Military Macaw,Animalia,Chordata,,Aves,Psittaciformes,,Psittacidae,Ara,Ara militaris,"2,000-6,666",50-60 yrs,55 km/h,900-1.100 g,,70.5 cm,,,,"['Forest', 'Rainforest', 'Woodland', 'Mountains', 'Montane forest', 'Tropical rainforest']",['Tropical'],Altitudinal Migrant,,Your browser does not support the audio element.,Monogamy,January-March,,2-3 eggs,12 weeks,hen,cock,chick,28-30 days,Decreasing,Vulnerable (VU)
2744,Long-Tailed Duck,Animalia,Chordata,,Aves,Anseriformes,,Anatidae,Clangula,Clangula hyemalis,"3,2-3,7 mln",15 yrs,,740 g,,440-600 mm,,,,"['Lakes', 'Intertidal zone', 'Oceanic pelagic zone', 'Wetlands ', 'Bog', 'Brackish water', 'Coastal', 'Estuaries', 'Freshwater', 'Marsh', 'Marine', 'Grassland', 'Neritic zone']","['Temperate', 'Cold', 'Polar']",Migrating,,Your browser does not support the audio element.,Serial monogamy,spring,,5-9 eggs,35-40 days,duck,drake,duckling,24-29 days,Decreasing,Vulnerable (VU)
2745,Southern Ground Hornbil,Animalia,Chordata,,Aves,Bucerotiformes,,Bucorvidae,Bucorvus,Bucorvus leadbeateri,"1,500",50-70 yrs,30 km/h,2-6 kg,,90-129 cm,,,,"['Shrubland', 'Forest', 'Grassland', 'Freshwater', 'Anthropogenic biome', 'Savanna', 'Wetlands ']","['Tropical', 'Temperate']",Not a migrant,,Your browser does not support the audio element.,Monogamy,September-December,,1-3 eggs,1-2 years,,,chick,40-45 days,Decreasing,Vulnerable (VU)
2746,Sanderling,Animalia,Chordata,,Aves,Charadriiformes,,Scolopacidae,Calidris,Calidris alba,,,,40-100 g,,18-20 cm,,,"Anguilla, Aruba, Bermuda, Bonaire, Sint Eustatius and Saba, Cayman Islands, Curaçao, Haiti, Martinique, Montserrat, Puerto Rico,","['Coastal', 'Marine', 'Freshwater', 'Grassland', 'Intertidal zone', 'Wetlands ']","['Temperate', 'Tropical']",Migrating,,Your browser does not support the audio element.,Monogamy,,,,17 to 21 days,,,,,Unknown,Least concern (LC)
2747,Northern cassowary,Animalia,Chordata,,Aves,Casuariiformes,,Casuariidae,Casuarius,Casuarius unappendiculatus,,,,20-25 kg,,2 m,,,,"['Forest', 'Rainforest']",['Tropical'],Not a migrant,,Your browser does not support the audio element.,"Polyandry,",,,,9 to 18 months,,,,,Decreasing,Least concern (LC)
2748,Orchard oriole,Animalia,Chordata,,Aves,Passeriformes,,Icteridae,Icterus,Icterus spurius,,11 years,,16-25 g,,15-18 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Lakes', 'Marsh', 'Wetlands ', 'Riparian', 'Rivers', 'Suburban', 'Urban wildlife', 'Savanna']","['Temperate', 'Tropical']",Migrating,,Your browser does not support the audio element.,,,,,,,,,,Stable,Least concern (LC)
2749,Clark's nutcracker,Animalia,Chordata,,Aves,Passeriformes,,Corvidae,Nucifraga,Nucifraga columbiana,,17.5 years,,141 g,,28.8 cm,,,,"['Forest', 'Mountains', 'Anthropogenic biome', 'Shrubland']",['Temperate'],Altitudinal Migrant,,Your browser does not support the audio element.,,,,,,,,,,Stable,Least concern (LC)
2750,White-rumped vulture,Animalia,Chordata,,Aves,Accipitriformes,,Accipitridae,Gyps,Gyps bengalensis,,,,3.5-7.5 kg,,75-85 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Chaparral', 'Grassland', 'Suburban', 'Urban wildlife', 'Forest', 'Savanna', 'Shrubland']",['Temperate'],Not a migrant,,Your browser does not support the audio element.,,,,,,,,,,Decreasing,Critically endangered (CR)
2751,Yellow-Eyed Penguin,Animalia,Chordata,,Aves,Sphenisciformes,,Spheniscidae,Megadyptes,Megadyptes antipodes,"3,400",22 yrs,6 km/h,5.5-8 kg,62-79 cm,56-78 cm,,,,"['Intertidal zone', 'Coastal', 'Forest', 'Anthropogenic biome', 'Neritic zone', 'Oceanic pelagic zone', 'Shrubland', 'Marine']",['Temperate'],Not a migrant,,Your browser does not support the audio element.,Serial monogamy,mid-August-mid-March,,2 eggs,14 weeks,hen,cock,"chick, nestling",45 days,Decreasing,Endangered (EN)
2752,American Wigeon,Animalia,Chordata,,Aves,Anseriformes,,Anatidae,Mareca,Mareca americana,1.4 mln,1.7-21 yrs,112 km/h,"512-1,330 g",,42-59 cm,,,,"['Lakes', 'Rivers', 'Intertidal zone', 'Estuaries', 'Wetlands ', 'Agricultural', 'Anthropogenic biome', 'Freshwater', 'Marsh', 'Grassland', 'Neritic zone', 'Coastal', 'Marine']","['Tropical', 'Temperate', 'Polar']",Migrating,,Your browser does not support the audio element.,Serial monogamy,,,6-12 eggs,37-48 days,duck,drake,duckling,23-25 days,Stable,Least concern (LC)
2753,Lear's Macaw,Animalia,Chordata,,Aves,Psittaciformes,,Psittacidae,Anodorhynchus,Anodorhynchus leari,"1,694",30-60 yrs,56 km/h,940-950 g,,70-75 cm,,,,"['Savanna', 'Shrubland', 'Rocky areas ']","['Tropical', 'Arid']",Not a migrant,,Your browser does not support the audio element.,Monogamy,February-April,,1-2 eggs,3 months,hen,cock,chick,26-28 days,Increasing,Endangered (EN)
2754,Painted Stork,Animalia,Chordata,,Aves,Ciconiiformes,,Ciconiidae,Mycteria,Mycteria leucocephala,25-35 thou,28 yrs,,2-3.5 kg,93-102 cm,93-102 cm,"Viet Nam,  China, Malaysia",,,"['Lakes', 'Rivers', 'Wetlands ', 'Agricultural', 'Anthropogenic biome', 'Coastal', 'Freshwater', 'Marsh', 'Riparian', 'Marine']",['Tropical'],Not a migrant,,Your browser does not support the audio element.,Monogamy,starts in winter and varies with location,,1-5 eggs,2 months,,,chick,1 month,Decreasing,Near Threatened (NT)
2755,European nightjar,Animalia,Chordata,,Aves,Caprimulgiformes,,Caprimulgidae,Caprimulgus,Caprimulgus europaeus,,,,41-101 g,,26-28 cm,,,,"['Chaparral', 'Forest', 'Mountains', 'Riparian', 'Grassland', 'Shrubland']","['Temperate', 'Tropical']",Migrating,,Your browser does not support the audio element.,"Cooperative breeder,",,,,32 days,,,,,Decreasing,Least concern (LC)
2756,Lanner Falcon,Animalia,Chordata,,Aves,Falconiformes,,Falconidae,Falco,Falco biarmicus,Unknown,15-17 yrs,144 km/h,500-900 g,,43-50 cm,,,,"['Rocky areas ', 'Forest', 'Mountains', 'Grassland', 'Shrubland', 'Anthropogenic biome', 'Savanna']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,Your browser does not support the audio element.,Monogamy,varies with location,,3-4 eggs,3.5 months,falcon,tiercel,"eyas, eyass",4 weeks,Increasing,Least concern (LC)
2757,Blue Crane,Animalia,Chordata,,Aves,Gruiformes,,Gruidae,Grus,Grus paradisea,"25,5-46 thou",20-30 yrs,,3.6-6.2 kg,100-120 cm,,,,,"['Anthropogenic biome', 'Grassland', 'Savanna', 'Shrubland', 'Wetlands ', 'Coastal', 'Agricultural', 'Freshwater', 'Lakes', 'Marsh']","['Temperate', 'Tropical']",Altitudinal Migrant,,Your browser does not support the audio element.,Monogamy,September-February,,2 eggs,,,,chick,30-33 days,Decreasing,Vulnerable (VU)
2758,Eurasian bittern,Animalia,Chordata,,Aves,Pelecaniformes,,Ardeidae,Botaurus,Botaurus stellaris,,,,874-243 g,,64-80 cm,,Eswatini,,"['Agricultural', 'Anthropogenic biome', 'Marsh', 'Wetlands ', 'Grassland', 'Freshwater']",['Temperate'],Partial Migrant,,Your browser does not support the audio element.,"Polygyny,",,,,50 to 55 days,,,,,Decreasing,Least concern (LC)
2759,Tawny eagle,Animalia,Chordata,,Aves,Accipitriformes,,Accipitridae,Aquila,Aquila rapax,,,,1950-2500 g,,65-72 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Mountains', 'Grassland', 'Freshwater', 'Forest', 'Savanna', 'Shrubland']",['Temperate'],Not a migrant,,,Monogamy,,,,120 days,,,,,Decreasing,Vulnerable (VU)
2760,Red-Cockaded Woodpecker,Animalia,Chordata,,Aves,Piciformes,,Picidae,Dryobates,Dryobates borealis,15-30 thou,12-16 yrs,,40-56 g,,18-23 cm,,,,"['Forest', 'Anthropogenic biome']",['Temperate'],Not a migrant,,,Monogamy,April-June,,3-4 eggs,4 to 6 months,,,chick,10-13 days,Decreasing,Near Threatened (NT)
2761,Pyrrhuloxia,Animalia,Chordata,,Aves,Passeriformes,,Cardinalidae,Cardinalis,Cardinalis sinuatus,,8 years,,32 g,,,,,,"['Forest', 'Shrubland']",[],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Decreasing,Least concern (LC)
2762,Blue-gray gnatcatcher,Animalia,Chordata,,Aves,Passeriformes,,Polioptilidae,Polioptila,Polioptila caerulea,,4 years,,6.5 g,,,,,,"['Forest', 'Rainforest', 'Shrubland', 'Anthropogenic biome', 'Savanna']",[],Migrating,,Your browser does not support the audio element.,,,,,,,,,,Increasing,Least concern (LC)
2763,Warbling vireo,Animalia,Chordata,,Aves,Passeriformes,,Vireonidae,Vireo,Vireo gilvus,,,,12.0 g,,14.0 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Riparian', 'Shrubland', 'Urban wildlife', 'Wetlands ']","['Temperate', 'Tropical']",Migrating,,Your browser does not support the audio element.,Monogamy,,,,14 days,,,,,Increasing,Least concern (LC)
2764,Victoria Crowned Pigeon,Animalia,Chordata,,Aves,Columbiformes,,Columbidae,Goura,Goura victoria,10-20 thou,20-25 yrs,,3.5 kg,,73-75 cm,,,,['Forest'],['Tropical'],Not a migrant,,,Monogamy,peaks late in the wet season and in the dry season,,1 egg,13 weeks,hen,cock,squab,30 days,Decreasing,Near Threatened (NT)
2765,Lesser scaup,Animalia,Chordata,,Aves,Anseriformes,,Anatidae,Aythya,Aythya affinis,,,,600-1200 g,,39.1-45.1 cm,,,,"['Bog', 'Wetlands ', 'Brackish water', 'Coastal', 'Estuaries', 'Freshwater', 'Lakes', 'Marsh', 'Rivers', 'Grassland', 'Temporary pools', 'Neritic zone', 'Anthropogenic biome', 'Marine']",['Temperate'],Your browser does not support the audio element.,,,Monogamy,,,,2 to 5 weeks,,,,,Decreasing,Least concern (LC)
2766,Sharp-tailed grouse,Animalia,Chordata,,Aves,Galliformes,,Phasianidae,Tympanuchus,Tympanuchus phasianellus,,,,"596-1,031 g",,41-47 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Bog', 'Wetlands ', 'Forest', 'Shrubland', 'Grassland']",[],Not a migrant,,Your browser does not support the audio element.,"Polygynandry,",,,,12 weeks,,,,,Decreasing,Least concern (LC)
2767,Senegal Parrot,Animalia,Chordata,,Aves,Psittaciformes,,Psittacidae,Poicephalus,Poicephalus senegalus,Unknown,25-50 yrs,,120-170 g,,20-25 cm,,,,"['Grassland', 'Anthropogenic biome', 'Forest', 'Savanna']",['Tropical'],Not a migrant,,Your browser does not support the audio element.,,,,3-4 eggs,12 weeks,hen,cock,chick,27-28 days,Decreasing,Least concern (LC)
